State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2020 - 2021,98,190,1.94,469,"1,135.00",2.42,,,,,,
,,2021 - 2022,46,75,1.63,611,"1,456.00",2.38,,,,,,
,,2022 - 2023,91,173,1.9,746,"1,334.00",1.79,,,,,,
,22. Thanjavur,2013 - 2014,,,,"1,788.00","5,912.00",3.31,,,,,,
,,2014 - 2015,681,"2,136.00",3.14,"1,411.00","4,813.00",3.41,,,,,,
,,2015 - 2016,226,421,1.86,"1,463.00","3,761.00",2.57,,,,,,
,,2016 - 2017,81,105,1.3,"1,659.00","7,609.00",4.59,,,,,,
,,2017 - 2018,122,,0,693,3,0,,,,,,
,,2018 - 2019,88,190,2.16,"1,520.00","7,980.00",5.25,,,,,,
,,2019 - 2020,54,130,2.41,"2,068.00","5,191.00",2.51,,,,,,
,,2020 - 2021,214,416,1.94,"1,647.00","3,981.00",2.42,,,,,,
,,2021 - 2022,233,376,1.61,"2,868.00","6,846.00",2.39,,,,,,
,,2022 - 2023,398,760,1.91,"3,546.00","6,344.00",1.79,,,,,,
,23. The nilgiris,2013 - 2014,6,17,2.83,,,,,,,,,
,,2014 - 2015,,,,5,17,3.4,,,,,,
,24. Theni,2013 - 2014,834,"2,455.00",2.94,509,"2,329.00",4.58,,,,,,
,,2014 - 2015,"1,009.00","3,882.00",3.85,"1,848.00","8,312.00",4.5,,,,,,
,,2015 - 2016,913,"4,318.00",4.73,877,"3,916.00",4.47,,,,,,
,,2016 - 2017,318,410,1.29,"1,424.00",347,0.24,,,,,,
,,2017 - 2018,"1,246.00",3,0,"1,162.00",3,0,,,,,,
,,2018 - 2019,981,"2,125.00",2.17,"2,474.00","6,426.00",2.6,,,,,,
,,2019 - 2020,713,"3,238.00",4.54,"1,830.00","10,402.00",5.68,,,,,,
,,2020 - 2021,600,"2,559.00",4.27,"1,249.00","2,648.00",2.12,,,,,,
,,2021 - 2022,"1,052.00","6,367.00",6.05,"1,794.00","7,839.00",4.37,,,,,,
,,2022 - 2023,"1,649.00","9,188.00",5.57,"2,652.00","10,733.00",4.05,,,,,,
,25. Thenkasi,2020 - 2021,809,"1,574.00",1.95,"1,853.00","5,712.00",3.08,,,,,,
,,2021 - 2022,657,"1,060.00",1.61,"2,198.00","6,068.00",2.76,,,,,,
,,2022 - 2023,"1,246.00","2,372.00",1.9,"3,283.00","6,310.00",1.92,,,,,,
,26. Thiruvallur,2014 - 2015,,,,2,7,3.5,,,,,,
,,2015 - 2016,,,,1,3,3,,,,,,
,27. Thiruvarur,2013 - 2014,,,,"3,676.00","9,189.00",2.5,,,,,,
,,2014 - 2015,80,251,3.14,"5,077.00","10,624.00",2.09,,,,,,
,,2015 - 2016,1,2,2,"4,798.00","18,035.00",3.76,,,,,,
,,2016 - 2017,,,,"6,998.00","20,804.00",2.97,,,,,,
,,2017 - 2018,,,,"4,200.00",12,0,,,,,,
,,2018 - 2019,,,,"6,689.00","30,586.00",4.57,,,,,,
,,2019 - 2020,,,,"8,049.00","27,003.00",3.35,,,,,,
,,2020 - 2021,60,117,1.95,"6,623.00","17,212.00",2.6,,,,,,
,,2021 - 2022,,,,"16,427.00","54,758.00",3.33,,,,,,
,,2022 - 2023,17,32,1.88,"16,384.00","31,411.00",1.92,,,,,,
,28. Thoothukudi,2013 - 2014,22,63,2.86,"4,504.00","7,701.00",1.71,,,,,,
,,2014 - 2015,48,151,3.15,"7,313.00","35,299.00",4.83,,,,,,
,,2015 - 2016,78,145,1.86,"5,069.00","17,742.00",3.5,,,,,,
,,2016 - 2017,91,117,1.29,"6,139.00","1,242.00",0.2,,,,,,
,,2017 - 2018,43,,0,"6,497.00",14,0,,,,,,
,,2018 - 2019,2,4,2,"6,149.00","11,452.00",1.86,,,,,,
,,2019 - 2020,53,130,2.45,"7,707.00","14,922.00",1.94,,,,,,
,,2020 - 2021,147,285,1.94,"4,975.00","4,136.00",0.83,,,,,,
,,2021 - 2022,691,"1,117.00",1.62,"4,814.00","7,137.00",1.48,,,,,,
,,2022 - 2023,250,475,1.9,"8,312.00","5,474.00",0.66,,,,,,
,29. Tiruchirappalli,2013 - 2014,"16,272.00","35,173.00",2.16,190,594,3.13,,,,,,
,,2014 - 2015,"16,895.00","28,140.00",1.67,389,"1,327.00",3.41,,,,,,
,,2015 - 2016,"14,518.00","17,592.00",1.21,459,"1,361.00",2.97,,,,,,
,,2016 - 2017,"10,655.00","13,194.00",1.24,980,"1,445.00",1.47,,,,,,
,,2017 - 2018,"14,197.00",29,0,690,2,0,,,,,,
,,2018 - 2019,"5,361.00","12,017.00",2.24,"3,502.00","9,095.00",2.6,,,,,,
,,2019 - 2020,"11,428.00","24,692.00",2.16,"2,046.00","5,137.00",2.51,,,,,,
,,2020 - 2021,"8,051.00","13,992.00",1.74,625,"1,509.00",2.41,,,,,,
,,2021 - 2022,"9,138.00","13,030.00",1.43,"2,282.00","5,443.00",2.39,,,,,,
,,2022 - 2023,"10,339.00","17,906.00",1.73,"2,563.00","4,587.00",1.79,,,,,,
,30. Tirunelveli,2013 - 2014,"1,105.00","2,187.00",1.98,"2,379.00","1,617.00",0.68,,,,,,
,,2014 - 2015,"3,247.00","10,642.00",3.28,"2,809.00","13,382.00",4.76,,,,,,
,,2015 - 2016,"1,220.00","4,744.00",3.89,"2,922.00","11,911.00",4.08,,,,,,
,,2016 - 2017,"1,055.00","3,248.00",3.08,"2,607.00","2,182.00",0.84,,,,,,
,,2017 - 2018,"1,220.00",4,0,"2,333.00",4,0,,,,,,
,,2018 - 2019,821,"1,955.00",2.38,"3,139.00","4,896.00",1.56,,,,,,
,,2019 - 2020,985,"2,398.00",2.43,"3,452.00","4,805.00",1.39,,,,,,
,,2020 - 2021,630,"1,228.00",1.95,226,546,2.42,,,,,,
,,2021 - 2022,561,909,1.62,185,441,2.38,,,,,,
,,2022 - 2023,845,"1,610.00",1.91,298,533,1.79,,,,,,
,31. Tirupathur,2020 - 2021,"2,200.00","4,627.00",2.1,,,,,,,,,
,,2021 - 2022,"3,101.00","4,183.00",1.35,5,12,2.4,,,,,,
,,2022 - 2023,"3,305.00","8,106.00",2.45,136,243,1.79,,,,,,
,32. Tiruppur,2013 - 2014,137,393,2.87,194,466,2.4,,,,,,
,,2014 - 2015,381,"1,195.00",3.14,479,"1,634.00",3.41,,,,,,
,,2015 - 2016,277,517,1.87,692,"2,052.00",2.97,,,,,,
,,2016 - 2017,272,352,1.29,621,914,1.47,,,,,,
,,2017 - 2018,191,,0,717,2,0,,,,,,
,,2018 - 2019,113,244,2.16,"1,039.00","2,696.00",2.59,,,,,,
,,2019 - 2020,222,541,2.44,984,"3,769.00",3.83,,,,,,
,,2020 - 2021,163,318,1.95,768,"3,011.00",3.92,,,,,,
,,2021 - 2022,156,254,1.63,928,"3,914.00",4.22,,,,,,
,,2022 - 2023,433,824,1.9,840,"2,697.00",3.21,,,,,,
,33. Tiruvannamalai,2013 - 2014,138,260,1.88,157,357,2.27,,,,,,
,,2014 - 2015,148,464,3.14,242,623,2.57,,,,,,
,,2015 - 2016,247,461,1.87,83,246,2.96,,,,,,
,,2016 - 2017,163,211,1.29,90,132,1.47,,,,,,
,,2017 - 2018,226,1,0,361,1,0,,,,,,
,,2018 - 2019,239,518,2.17,346,898,2.6,,,,,,
,,2019 - 2020,396,965,2.44,487,"1,219.00",2.5,,,,,,
,,2020 - 2021,282,549,1.95,353,854,2.42,,,,,,
,,2021 - 2022,292,472,1.62,"1,058.00","2,525.00",2.39,,,,,,
,,2022 - 2023,238,463,1.95,"1,946.00","3,479.00",1.79,,,,,,
,34. Vellore,2013 - 2014,"6,125.00","16,476.00",2.69,345,828,2.4,,,,,,
,,2014 - 2015,"8,503.00","23,200.00",2.73,140,478,3.41,,,,,,
,,2015 - 2016,"8,016.00","13,769.00",1.72,95,282,2.97,,,,,,
,,2016 - 2017,"6,021.00","10,374.00",1.72,89,131,1.47,,,,,,
,,2017 - 2018,"6,206.00",18,0,135,,0,,,,,,
,,2018 - 2019,"3,205.00","6,307.00",1.97,,,,,,,,,
,,2019 - 2020,"5,062.00","14,293.00",2.82,,,,,,,,,
,,2020 - 2021,19,59,3.11,,,,,,,,,
,,2021 - 2022,16,51,3.19,10,24,2.4,,,,,,
,,2022 - 2023,46,146,3.17,4,7,1.75,,,,,,
,35. Villupuram,2013 - 2014,"9,322.00","21,093.00",2.26,267,631,2.36,,,,,,
,,2014 - 2015,"9,024.00","22,702.00",2.52,861,"2,938.00",3.41,,,,,,
,,2015 - 2016,"7,459.00","9,433.00",1.26,"1,540.00","4,566.00",2.96,,,,,,
,,2016 - 2017,"4,884.00","7,557.00",1.55,876,"1,290.00",1.47,,,,,,
,,2017 - 2018,"7,920.00",19,0,483,1,0,,,,,,
,,2018 - 2019,"4,503.00","9,104.00",2.02,601,"1,559.00",2.59,,,,,,
,,2019 - 2020,"7,902.00","20,187.00",2.55,264,662,2.51,,,,,,
,,2020 - 2021,117,228,1.95,28,67,2.39,,,,,,
,,2021 - 2022,63,102,1.62,89,211,2.37,,,,,,
,,2022 - 2023,104,198,1.9,88,158,1.8,,,,,,
,36. Virudhunagar,2013 - 2014,"3,818.00","9,248.00",2.42,"5,904.00","14,203.00",2.41,,,,,,
,,2014 - 2015,"2,577.00","4,344.00",1.69,"10,680.00","26,066.00",2.44,,,,,,
,,2015 - 2016,"1,536.00","2,205.00",1.44,"11,962.00","33,634.00",2.81,,,,,,
,,2016 - 2017,"1,437.00",822,0.57,"14,016.00","15,524.00",1.11,,,,,,
,,2017 - 2018,"6,810.00",9,0,"10,375.00",19,0,,,,,,
,,2018 - 2019,"2,067.00","2,167.00",1.05,"17,375.00","30,649.00",1.76,,,,,,
,,2019 - 2020,"3,642.00","6,556.00",1.8,"18,043.00","29,221.00",1.62,,,,,,
,,2020 - 2021,"3,283.00","5,286.00",1.61,"13,384.00","33,030.00",2.47,,,,,,
,,2021 - 2022,"2,758.00","4,495.00",1.63,"17,100.00","26,469.00",1.55,,,,,,
,,2022 - 2023,"3,706.00","4,338.00",1.17,"17,401.00","23,625.00",1.36,,,,,,
20. Telangana,1. Adilabad,2013 - 2014,"3,02,845.00","6,57,994.00",2.17,,,,,,,,,
,,2014 - 2015,"3,04,424.00","5,73,033.00",1.88,,,,,,,,,
,,2015 - 2016,"3,36,448.00","8,38,679.00",2.49,,,,,,,,,
,,2016 - 2017,"1,05,746.00","2,88,002.00",2.72,,,,,,,,,
,,2017 - 2018,"1,42,058.00","4,47,065.00",3.15,,,,,,,,,
,,2018 - 2019,"1,42,447.00","3,62,821.00",2.55,,,,,,,,,
,,2019 - 2020,"1,40,332.00","6,64,975.00",4.74,,,,,,,,,
,,2020 - 2021,"1,71,507.00","4,58,698.00",2.67,,,,,,,,,
,,2021 - 2022,"1,56,685.00","4,01,848.00",2.56,,,,,,,,,
,,2022 - 2023,"1,50,384.00","4,76,806.00",3.17,9,29,3.22,,,,,,
,2. Bhadradri,2016 - 2017,"37,975.00","1,28,445.00",3.38,,,,,,,,,
,,2017 - 2018,"46,097.00","1,79,236.00",3.89,,,,,,,,,
,,2018 - 2019,"48,246.00","1,17,209.00",2.43,,,,,,,,,
,,2019 - 2020,"48,548.00","1,65,831.00",3.42,,,,,,,,,
,,2020 - 2021,"52,424.00","1,60,794.00",3.07,,,,,,,,,
,,2021 - 2022,"64,971.00","2,48,048.00",3.82,,,,,,,,,
,,2022 - 2023,"68,275.00","2,36,954.00",3.47,59,205,3.47,,,,,,
,3. Jagitial,2016 - 2017,"13,052.00","41,766.00",3.2,,,,,,,,,
,,2017 - 2018,"10,809.00","20,982.00",1.94,,,,,,,,,
,,2018 - 2019,"8,291.00","23,215.00",2.8,,,,,,,,,
,,2019 - 2020,"11,291.00","38,405.00",3.4,,,,,,,,,
,,2020 - 2021,"11,946.00","39,593.00",3.31,,,,,,,,,
,,2021 - 2022,"8,598.00","25,238.00",2.94,,,,,,,,,
,,2022 - 2023,"8,645.00","25,376.00",2.94,2,6,3,,,,,,
,4. Jangoan,2016 - 2017,"56,065.00","1,69,844.00",3.03,,,,,,,,,
,,2017 - 2018,"78,259.00","2,47,206.00",3.16,,,,,,,,,
,,2018 - 2019,"64,566.00","1,41,286.00",2.19,,,,,,,,,
,,2019 - 2020,"68,824.00","1,98,078.00",2.88,,,,,,,,,
,,2020 - 2021,"74,215.00","1,86,625.00",2.51,,,,,,,,,
,,2021 - 2022,"59,252.00","1,37,325.00",2.32,,,,,,,,,
,,2022 - 2023,"60,282.00","1,87,229.00",3.11,86,267,3.1,,,,,,
,5. Jayashankar,2016 - 2017,"60,981.00","1,84,737.00",3.03,,,,,,,,,
,,2017 - 2018,"65,999.00","1,66,550.00",2.52,,,,,,,,,
,,2018 - 2019,"52,864.00","1,54,549.00",2.92,,,,,,,,,
,,2019 - 2020,"52,386.00","1,85,795.00",3.55,,,,,,,,,
,,2020 - 2021,"50,028.00","1,37,441.00",2.75,,,,,,,,,
,,2021 - 2022,"36,304.00","1,08,698.00",2.99,,,,,,,,,
,,2022 - 2023,"40,889.00","1,64,037.00",4.01,13,52,4,,,,,,
,6. Jogulamba,2016 - 2017,"38,428.00","67,362.00",1.75,,,,,,,,,
,,2017 - 2018,"59,363.00","1,30,249.00",2.19,,,,,,,,,
,,2018 - 2019,"59,265.00","1,16,787.00",1.97,,,,,,,,,
,,2019 - 2020,"76,386.00","2,34,280.00",3.07,,,,,,,,,
,,2020 - 2021,"89,474.00","2,27,603.00",2.54,,,,,,,,,
,,2021 - 2022,"77,408.00","2,02,622.00",2.62,,,,,,,,,
,,2022 - 2023,"95,408.00","2,01,479.00",2.11,28,59,2.11,,,,,,
,7. Kamareddy,2016 - 2017,"7,864.00","18,133.00",2.31,,,,,,,,,
,,2017 - 2018,"17,808.00","45,044.00",2.53,,,,,,,,,
,,2018 - 2019,"18,253.00","66,355.00",3.64,,,,,,,,,
,,2019 - 2020,"19,206.00","61,975.00",3.23,,,,,,,,,
,,2020 - 2021,"23,672.00","45,420.00",1.92,,,,,,,,,
,,2021 - 2022,"11,168.00","31,927.00",2.86,,,,,,,,,
,,2022 - 2023,"11,974.00","40,219.00",3.36,15,50,3.33,,,,,,
,8. Karimnagar,2013 - 2014,"2,31,378.00","6,69,212.00",2.89,,,,,,,,,
,,2014 - 2015,"2,14,586.00","5,85,694.00",2.73,,,,,,,,,
,,2015 - 2016,"2,01,244.00","5,48,269.00",2.72,,,,,,,,,
,,2016 - 2017,"47,541.00","1,52,131.00",3.2,,,,,,,,,
,,2017 - 2018,"53,366.00","1,85,839.00",3.48,,,,,,,,,
,,2018 - 2019,"42,918.00","93,915.00",2.19,,,,,,,,,
,,2019 - 2020,"36,762.00","1,11,148.00",3.02,,,,,,,,,
,,2020 - 2021,"30,345.00","93,077.00",3.07,,,,,,,,,
,,2021 - 2022,"19,168.00","60,658.00",3.16,,,,,,,,,
,,2022 - 2023,"20,928.00","75,341.00",3.6,48,173,3.6,,,,,,
,9. Khammam,2013 - 2014,"1,75,049.00","5,48,747.00",3.13,,,,,,,,,
,,2014 - 2015,"1,57,416.00","4,84,286.00",3.08,,,,,,,,,
,,2015 - 2016,"1,54,994.00","4,64,001.00",2.99,,,,,,,,,
,,2016 - 2017,"83,018.00","2,80,796.00",3.38,,,,,,,,,
,,2017 - 2018,"97,801.00","3,89,478.00",3.98,,,,,,,,,
,,2018 - 2019,"97,134.00","2,17,694.00",2.24,,,,,,,,,
,,2019 - 2020,"1,00,370.00","3,51,605.00",3.5,,,,,,,,,
,,2020 - 2021,"1,02,772.00","2,24,077.00",2.18,,,,,,,,,
,,2021 - 2022,"78,817.00","2,22,545.00",2.82,,,,,,,,,
,,2022 - 2023,"94,628.00","2,81,101.00",2.97,59,175,2.97,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,"71,072.00","1,93,567.00",2.72,,,,,,,,,
,,2017 - 2018,"83,197.00","1,76,182.00",2.12,,,,,,,,,
,,2018 - 2019,"91,992.00","2,16,452.00",2.35,,,,,,,,,
,,2019 - 2020,"1,24,884.00","4,08,435.00",3.27,,,,,,,,,
,,2020 - 2021,"1,24,040.00","3,66,010.00",2.95,,,,,,,,,
,,2021 - 2022,"1,26,410.00","3,42,794.00",2.71,,,,,,,,,
,,2022 - 2023,"1,29,158.00","4,09,507.00",3.17,15,48,3.2,,,,,,
,11. Mahabubabad,2016 - 2017,"30,249.00","91,637.00",3.03,,,,,,,,,
,,2017 - 2018,"42,476.00","1,05,690.00",2.49,,,,,,,,,
,,2018 - 2019,"36,495.00","91,882.00",2.52,,,,,,,,,
,,2019 - 2020,"40,779.00","90,689.00",2.22,,,,,,,,,
,,2020 - 2021,"44,774.00","1,01,528.00",2.27,,,,,,,,,
,,2021 - 2022,"29,491.00","80,490.00",2.73,,,,,,,,,
,,2022 - 2023,"39,058.00","1,18,093.00",3.02,23,70,3.04,,,,,,
,12. Mahbubnagar,2013 - 2014,"2,30,606.00","4,77,929.00",2.07,,,,,,,,,
,,2014 - 2015,"2,37,683.00","4,64,509.00",1.95,,,,,,,,,
,,2015 - 2016,"2,73,989.00","2,62,561.00",0.96,,,,,,,,,
,,2016 - 2017,"34,499.00","60,475.00",1.75,,,,,,,,,
,,2017 - 2018,"73,982.00","1,21,418.00",1.64,,,,,,,,,
,,2018 - 2019,"35,870.00","46,209.00",1.29,,,,,,,,,
,,2019 - 2020,"39,210.00","1,24,818.00",3.18,,,,,,,,,
,,2020 - 2021,"52,415.00","1,04,378.00",1.99,,,,,,,,,
,,2021 - 2022,"32,557.00","86,372.00",2.65,,,,,,,,,
,,2022 - 2023,"42,574.00","1,10,192.00",2.59,3,8,2.67,,,,,,
,13. Mancherial,2016 - 2017,"48,282.00","1,31,497.00",2.72,,,,,,,,,
,,2017 - 2018,"56,470.00","1,93,991.00",3.44,,,,,,,,,
,,2018 - 2019,"60,229.00","1,96,630.00",3.26,,,,,,,,,
,,2019 - 2020,"73,114.00","2,10,425.00",2.88,,,,,,,,,
,,2020 - 2021,"76,116.00","1,82,557.00",2.4,,,,,,,,,
,,2021 - 2022,"64,935.00","1,59,659.00",2.46,,,,,,,,,
,,2022 - 2023,"67,599.00","1,79,734.00",2.66,67,178,2.66,,,,,,
,14. Medak,2013 - 2014,"1,22,299.00","2,99,547.00",2.45,,,,,,,,,
,,2014 - 2015,"1,33,703.00","2,33,587.00",1.75,,,,,,,,,
,,2015 - 2016,"1,34,239.00","2,26,183.00",1.68,,,,,,,,,
,,2016 - 2017,"7,605.00","16,284.00",2.14,,,,,,,,,
,,2017 - 2018,"12,347.00","60,282.00",4.88,,,,,,,,,
,,2018 - 2019,"13,991.00","34,566.00",2.47,,,,,,,,,
,,2019 - 2020,"29,698.00","89,789.00",3.02,,,,,,,,,
,,2020 - 2021,"34,628.00","89,099.00",2.57,,,,,,,,,
,,2021 - 2022,"21,548.00","53,743.00",2.49,,,,,,,,,
,,2022 - 2023,"17,917.00","48,060.00",2.68,16,43,2.69,,,,,,
,15. Medchal,2016 - 2017,79,126,1.59,,,,,,,,,
,,2017 - 2018,150,411,2.74,,,,,,,,,
,,2018 - 2019,110,235,2.14,,,,,,,,,
,,2019 - 2020,174,559,3.21,,,,,,,,,
,,2020 - 2021,401,985,2.46,,,,,,,,,
,,2021 - 2022,108,274,2.54,,,,,,,,,
,,2022 - 2023,82,239,2.91,6,17,2.83,,,,,,
,16. Mulugu,2018 - 2019,"12,068.00","5,998.00",0.5,,,,,,,,,
,,2019 - 2020,"11,604.00","42,844.00",3.69,,,,,,,,,
,,2020 - 2021,"10,684.00","20,035.00",1.88,,,,,,,,,
,,2021 - 2022,"9,415.00","31,180.00",3.31,,,,,,,,,
,,2022 - 2023,"11,162.00","32,370.00",2.9,20,58,2.9,,,,,,
,17. Nagarkurnool,2016 - 2017,"67,350.00","1,18,061.00",1.75,,,,,,,,,
,,2017 - 2018,"1,27,009.00","1,94,249.00",1.53,,,,,,,,,
,,2018 - 2019,"1,19,059.00","1,05,752.00",0.89,,,,,,,,,
,,2019 - 2020,"1,42,192.00","4,77,438.00",3.36,,,,,,,,,
,,2020 - 2021,"1,84,648.00","4,37,486.00",2.37,,,,,,,,,
,,2021 - 2022,"1,42,692.00","2,94,615.00",2.06,,,,,,,,,
,,2022 - 2023,"1,41,458.00","3,27,850.00",2.32,91,211,2.32,,,,,,
,18. Nalgonda,2013 - 2014,"3,35,976.00","7,76,447.00",2.31,,,,,,,,,
,,2014 - 2015,"3,07,792.00","5,05,141.00",1.64,,,,,,,,,
,,2015 - 2016,"3,41,655.00","6,41,281.00",1.88,,,,,,,,,
,,2016 - 2017,"2,03,081.00","3,34,486.00",1.65,,,,,,,,,
,,2017 - 2018,"2,33,520.00","4,97,260.00",2.13,,,,,,,,,
,,2018 - 2019,"2,28,833.00","3,97,093.00",1.74,,,,,,,,,
,,2019 - 2020,"2,73,699.00","7,16,107.00",2.62,,,,,,,,,
,,2020 - 2021,"2,84,524.00","6,24,494.00",2.19,,,,,,,,,
,,2021 - 2022,"2,64,573.00","6,03,849.00",2.28,,,,,,,,,
,,2022 - 2023,"2,76,238.00","5,89,849.00",2.14,45,96,2.13,,,,,,
,19. Narayanapet,2018 - 2019,"41,972.00","9,192.00",0.22,,,,,,,,,
,,2019 - 2020,"63,734.00","2,06,590.00",3.24,,,,,,,,,
,,2020 - 2021,"73,177.00","1,44,659.00",1.98,,,,,,,,,
,,2021 - 2022,"67,073.00","1,88,593.00",2.81,,,,,,,,,
,,2022 - 2023,"87,985.00","2,00,813.00",2.28,82,187,2.28,,,,,,
,20. Nirmal,2016 - 2017,"50,504.00","1,37,549.00",2.72,,,,,,,,,
,,2017 - 2018,"59,258.00","1,97,991.00",3.34,,,,,,,,,
,,2018 - 2019,"57,216.00","1,50,781.00",2.64,,,,,,,,,
,,2019 - 2020,"55,585.00","1,64,016.00",2.95,,,,,,,,,
,,2020 - 2021,"62,799.00","1,86,220.00",2.97,,,,,,,,,
,,2021 - 2022,"65,559.00","1,31,502.00",2.01,,,,,,,,,
,,2022 - 2023,"57,672.00","1,99,817.00",3.46,1,3,3,,,,,,
,21. Nizamabad,2013 - 2014,"15,398.00","30,618.00",1.99,,,,,,,,,
,,2014 - 2015,"15,795.00","18,861.00",1.19,,,,,,,,,
,,2015 - 2016,"16,658.00","16,524.00",0.99,,,,,,,,,
,,2016 - 2017,994,"2,292.00",2.31,,,,,,,,,
,,2017 - 2018,"1,404.00","4,782.00",3.41,,,,,,,,,
,,2018 - 2019,"1,295.00","3,725.00",2.88,,,,,,,,,
,,2019 - 2020,"1,487.00","6,116.00",4.11,,,,,,,,,
,,2020 - 2021,"1,409.00","2,948.00",2.09,,,,,,,,,
,,2021 - 2022,853,"2,293.00",2.69,,,,,,,,,
,,2022 - 2023,829,"2,277.00",2.75,2,5,2.5,,,,,,
,22. Peddapalli,2016 - 2017,"30,656.00","98,099.00",3.2,,,,,,,,,
,,2017 - 2018,"39,307.00","1,26,476.00",3.22,,,,,,,,,
,,2018 - 2019,"35,027.00","1,10,850.00",3.16,,,,,,,,,
,,2019 - 2020,"31,142.00","93,704.00",3.01,,,,,,,,,
,,2020 - 2021,"30,854.00","90,147.00",2.92,,,,,,,,,
,,2021 - 2022,"25,610.00","80,737.00",3.15,,,,,,,,,
,,2022 - 2023,"27,134.00","1,04,386.00",3.85,3,12,4,,,,,,
,23. Rajanna,2016 - 2017,"42,806.00","1,36,979.00",3.2,,,,,,,,,
,,2017 - 2018,"50,586.00","1,69,909.00",3.36,,,,,,,,,
,,2018 - 2019,"51,270.00","1,38,127.00",2.69,,,,,,,,,
,,2019 - 2020,"50,178.00","2,45,796.00",4.9,,,,,,,,,
,,2020 - 2021,"39,943.00","1,50,956.00",3.78,,,,,,,,,
,,2021 - 2022,"25,557.00","79,675.00",3.12,,,,,,,,,
,,2022 - 2023,"23,297.00","90,447.00",3.88,8,31,3.88,,,,,,
,24. Rangareddi,2013 - 2014,"59,490.00","1,39,629.00",2.35,,,,,,,,,
,,2014 - 2015,"63,469.00","1,10,511.00",1.74,,,,,,,,,
,,2015 - 2016,"63,008.00","93,938.00",1.49,,,,,,,,,
,,2016 - 2017,"46,101.00","73,762.00",1.6,,,,,,,,,
,,2017 - 2018,"80,375.00","1,77,771.00",2.21,,,,,,,,,
,,2018 - 2019,"71,395.00","88,194.00",1.24,,,,,,,,,
,,2019 - 2020,"86,994.00","2,36,465.00",2.72,,,,,,,,,
,,2020 - 2021,"1,09,313.00","2,19,271.00",2.01,,,,,,,,,
,,2021 - 2022,"53,256.00","1,21,236.00",2.28,,,,,,,,,
,,2022 - 2023,"57,827.00","1,28,580.00",2.22,17,38,2.24,,,,,,
,25. Sangareddy,2016 - 2017,"69,740.00","1,49,326.00",2.14,,,,,,,,,
,,2017 - 2018,"1,06,002.00","4,15,902.00",3.92,,,,,,,,,
,,2018 - 2019,"99,543.00","1,89,132.00",1.9,,,,,,,,,
,,2019 - 2020,"1,40,009.00","4,49,762.00",3.21,,,,,,,,,
,,2020 - 2021,"1,61,667.00","4,53,540.00",2.81,,,,,,,,,
,,2021 - 2022,"1,46,158.00","3,33,584.00",2.28,,,,,,,,,
,,2022 - 2023,"1,48,432.00","5,56,183.00",3.75,43,161,3.74,,,,,,
,26. Siddipet,2016 - 2017,"51,581.00","1,10,444.00",2.14,,,,,,,,,
,,2017 - 2018,"77,061.00","2,61,554.00",3.39,,,,,,,,,
,,2018 - 2019,"74,505.00","1,27,535.00",1.71,,,,,,,,,
,,2019 - 2020,"91,914.00","3,13,964.00",3.42,,,,,,,,,
,,2020 - 2021,"96,431.00","3,04,164.00",3.15,,,,,,,,,
,,2021 - 2022,"51,483.00","1,42,638.00",2.77,,,,,,,,,
,,2022 - 2023,"49,959.00","1,69,861.00",3.4,13,44,3.38,,,,,,
,27. Suryapet,2016 - 2017,"33,598.00","55,338.00",1.65,,,,,,,,,
,,2017 - 2018,"49,916.00","1,64,723.00",3.3,,,,,,,,,
,,2018 - 2019,"47,530.00","1,56,290.00",3.29,,,,,,,,,
,,2019 - 2020,"65,642.00","2,15,637.00",3.29,,,,,,,,,
,,2020 - 2021,"61,181.00","1,44,067.00",2.35,,,,,,,,,
,,2021 - 2022,"39,715.00","1,12,370.00",2.83,,,,,,,,,
,,2022 - 2023,"46,816.00","1,59,174.00",3.4,9,31,3.44,,,,,,
,28. Vikarabad,2016 - 2017,"30,790.00","49,264.00",1.6,,,,,,,,,
,,2017 - 2018,"51,597.00","1,32,028.00",2.56,,,,,,,,,
,,2018 - 2019,"55,174.00","1,15,865.00",2.1,,,,,,,,,
,,2019 - 2020,"77,484.00","2,24,129.00",2.89,,,,,,,,,
,,2020 - 2021,"1,07,728.00","1,72,250.00",1.6,,,,,,,,,
,,2021 - 2022,"77,456.00","1,74,048.00",2.25,,,,,,,,,
,,2022 - 2023,"98,513.00","2,43,965.00",2.48,21,52,2.48,,,,,,
,29. Wanaparthy,2016 - 2017,"1,675.00","2,936.00",1.75,,,,,,,,,
,,2017 - 2018,"4,380.00","12,058.00",2.75,,,,,,,,,
,,2018 - 2019,"2,736.00","4,056.00",1.48,,,,,,,,,
,,2019 - 2020,"2,988.00","10,119.00",3.39,,,,,,,,,
,,2020 - 2021,"7,048.00","10,652.00",1.51,,,,,,,,,
,,2021 - 2022,"5,261.00","9,903.00",1.88,,,,,,,,,
,,2022 - 2023,"8,966.00","18,723.00",2.09,2,4,2,,,,,,
,30. Warangal,2013 - 2014,"2,39,789.00","6,65,182.00",2.77,,,,,,,,,
,,2014 - 2015,"2,28,057.00","6,07,705.00",2.66,,,,,,,,,
